# z: 3 h: 0.358 N: 10000000 
# 1:L 2:PJ 3:Pcon
2 0.846372 0.153628 
3 0.614677 0.312427 
4 0.405688 0.369001 
5 0.252438 0.340297 
6 0.150985 0.272999 
7 0.0879413 0.200333 
8 0.0502063 0.138371 
9 0.0282328 0.0914166 
10 0.0156808 0.0584113 
11 0.00862588 0.0363423 
12 0.0047069 0.0221343 
13 0.00255059 0.0132489 
14 0.00137407 0.00781678 
15 0.000736533 0.00455453 
16 0.000393259 0.00262557 
17 0.000209034 0.00149984 
18 0.00011075 0.00084965 
19 5.85009e-05 0.000477888 
20 3.08083e-05 0.000267052 
21 1.61884e-05 0.000148425 
